Torre,Fecha Hora,Profundidad [ft],Posicion Bloque [ft],Velocidad Bloque [ft/min],Carga Gancho [Klbs],Torque Llave Hid. max [lb-ft],Caudal [bbls/min],Presion Bomba [psi],RPM [rpm],Torque [lbs-ft],Peso Sobre Broca [Klbs],Strokes por minuto [spm],Contador Tuberia [Tubos]
SKAN-111,2026-04-09 00:00:00,928.84,30.26,0.0,5.87,1248,0,11.89,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:00:05,928.84,30.26,0.0,6.01,1621,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:00:09,928.84,30.26,0.0,5.9,2039,0,11.89,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:00:13,928.84,30.26,0.0,5.88,2396,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:00:17,928.84,30.26,0.0,5.98,3031,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:00:21,928.84,30.26,0.0,5.87,3213,0,12.52,0,-14.94,0.0,0,31
SKAN-111,2026-04-09 00:00:25,928.84,30.26,0.0,5.9,3213,0,11.89,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:00:29,928.84,30.26,0.0,5.55,3213,0,11.89,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:00:33,928.84,30.26,0.0,5.8,3213,0,11.89,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:00:37,928.84,30.26,0.0,5.77,3213,0,11.89,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:00:42,928.84,30.26,0.0,5.7,3213,0,11.89,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:00:46,928.84,31.61,12.49,10.79,3213,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:00:50,928.53,31.82,10.0,20.46,3213,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:00:54,930.65,29.53,26.24,20.96,3213,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:00:58,933.08,26.58,37.07,21.32,3213,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:02,936.27,23.63,37.07,21.32,3213,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:06,937.21,23.14,14.16,20.96,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:10,937.21,23.14,0.0,20.64,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:01:14,937.21,23.14,0.0,20.8,0,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:18,937.21,23.14,0.0,20.96,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:23,937.21,23.14,0.0,20.76,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:27,937.21,23.14,0.0,20.86,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:01:31,937.21,23.14,0.0,20.67,0,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:35,937.21,23.04,0.0,21.01,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:01:39,939.78,20.26,32.07,20.92,0,0,12.52,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:01:43,942.97,17.31,37.07,21.13,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:01:47,945.33,14.5,36.65,21.13,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:01:51,948.49,11.52,36.65,21.28,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:01:55,949.04,11.31,10.41,20.94,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:01:59,949.04,11.31,0.0,20.87,0,0,11.89,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:02:04,949.04,11.31,0.0,21.0,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:08,949.04,11.31,0.0,20.89,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:12,949.04,11.31,0.0,20.97,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:02:16,949.04,11.31,0.0,20.93,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:02:20,949.04,11.31,0.0,20.99,0,0,12.52,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:02:24,949.04,11.31,0.0,20.96,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:28,949.04,11.31,0.0,20.93,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:32,949.04,11.31,0.0,20.99,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:36,949.04,11.31,0.0,20.97,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:41,949.04,11.31,0.0,20.97,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:02:45,949.04,11.31,0.0,20.92,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:02:49,949.04,11.31,0.0,20.87,0,0,12.52,0,-12.8,0.0,0,31
SKAN-111,2026-04-09 00:02:53,949.04,11.31,0.0,20.9,0,0,11.89,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:02:57,951.19,8.91,23.74,21.45,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:03:01,953.52,6.03,36.23,21.24,0,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:03:05,956.64,3.32,35.51,21.35,0,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:03:09,959.03,1.32,32.57,21.14,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:03:13,959.16,1.19,3.1,20.96,0,0,11.89,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:03:18,959.16,1.19,0.0,21.22,0,0,12.52,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:03:22,959.16,0.93,2.71,12.06,0,0,11.89,0,-8.54,0.0,0,31
SKAN-111,2026-04-09 00:03:26,959.16,0.93,0.78,10.45,0,0,12.52,0,-10.67,0.0,0,31
SKAN-111,2026-04-09 00:03:30,959.29,0.61,3.1,9.78,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:03:34,959.29,0.32,6.98,6.39,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:03:38,959.29,0.32,0.39,6.47,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:03:42,959.29,3.13,24.43,5.27,0,0,12.52,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:03:46,959.29,4.16,24.87,6.36,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:03:50,959.29,3.03,13.96,5.87,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:03:54,959.29,6.52,39.33,5.88,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:03:59,959.29,15.58,99.95,5.78,0,0,11.58,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:03,959.29,27.17,144.93,5.18,0,0,10.01,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:07,959.29,31.2,75.8,6.12,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:11,959.29,31.2,0.0,5.91,0,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:04:15,959.29,31.2,0.0,6.02,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:04:19,959.29,31.2,0.0,5.92,0,0,12.52,0,-14.94,0.0,0,32
SKAN-111,2026-04-09 00:04:23,959.29,31.2,0.0,5.98,0,0,11.89,0,-14.94,0.0,0,32
SKAN-111,2026-04-09 00:04:27,959.29,31.2,0.0,5.88,0,0,12.52,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:31,959.29,31.2,0.0,5.97,0,0,12.52,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:36,959.29,31.16,0.0,5.91,0,0,11.89,0,-14.94,0.0,0,32
SKAN-111,2026-04-09 00:04:40,959.29,30.29,10.83,5.67,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:44,959.29,30.29,0.0,5.7,0,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:04:48,959.29,30.29,0.0,5.7,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:04:52,959.29,30.29,0.0,5.67,0,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:04:56,959.29,30.29,0.0,5.7,0,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:05:00,959.29,30.29,0.0,5.74,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:04,959.29,30.29,0.0,5.77,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:08,959.29,30.29,0.0,5.81,0,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:05:12,959.29,30.29,0.0,5.77,0,0,11.89,0,-14.94,0.0,0,32
SKAN-111,2026-04-09 00:05:17,959.29,30.29,0.0,5.87,0,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:05:21,959.29,30.29,0.0,5.85,0,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:25,959.29,30.29,0.0,5.7,0,0,12.52,0,-14.94,0.0,0,32
SKAN-111,2026-04-09 00:05:29,959.29,30.29,0.0,5.88,1233,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:33,959.29,30.29,0.0,5.67,1233,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:37,959.29,30.29,0.0,5.67,1369,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:05:41,959.29,30.29,0.0,5.64,1609,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:45,959.29,30.29,0.0,5.8,1939,0,12.52,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:05:49,959.29,30.29,0.0,5.81,2206,0,11.89,0,-10.67,0.0,0,32
SKAN-111,2026-04-09 00:05:53,959.29,30.29,0.0,5.77,2494,0,11.89,0,-12.8,0.0,0,32
SKAN-111,2026-04-09 00:05:58,959.29,30.29,0.0,5.88,2861,0,11.89,0,-14.94,0.0,0,32
SKAN-111,2026-04-09 00:06:02,959.29,30.29,0.0,5.84,2976,0,11.89,0,-10.67,0.0,0,32
